genename	AIC	lnL	k	AICC
ENSG00000197376	-20.1269363466777	13.0634681733388	3	-12.1269363466777
ENSG00000123473	14.8956602528793	-4.44783012643964	3	22.8956602528793
ENSG00000151503	30.1825349961634	-12.0912674980817	3	38.1825349961634
ENSG00000151500	53.465082921929	-23.7325414609645	3	61.465082921929
ENSG00000103061	48.5279031544892	-21.2639515772446	3	56.5279031544892
ENSG00000176714	20.0385908927474	-7.01929544637368	3	28.0385908927474
ENSG00000176715	35.0487862700452	-14.5243931350226	3	43.0487862700452
ENSG00000107036	40.500511613755	-17.2502558068775	3	48.500511613755
ENSG00000170419	-6.36577698239897	6.18288849119949	3	1.63422301760103
ENSG00000160959	27.2941000067101	-10.647050003355	3	35.2941000067101
ENSG00000174970	-16.0396882123232	11.0198441061616	3	-8.03968821232319
ENSG00000170412	29.1042526004671	-11.5521263002335	3	37.1042526004671
ENSG00000155287	52.7215310444799	-23.36076552224	3	60.7215310444799
ENSG00000170417	67.3622105209852	-30.6811052604926	3	75.3622105209852
ENSG00000254986	37.8906045714291	-15.9453022857146	3	45.8906045714291
ENSG00000134460	16.6815729981821	-5.34078649909107	3	24.6815729981821
ENSG00000134461	32.202493623476	-13.101246811738	3	40.202493623476
ENSG00000134463	63.8952727248907	-28.9476363624453	3	71.8952727248907
ENSG00000111961	58.4778000159305	-26.2389000079653	3	66.4778000159305
ENSG00000111962	46.8004836379839	-20.400241818992	3	54.8004836379839
ENSG00000123610	62.3328059074587	-28.1664029537293	3	70.3328059074587
ENSG00000012504	33.0359027730597	-13.5179513865299	3	41.0359027730597
ENSG00000169575	-18.2639252091497	12.1319626045748	3	-10.2639252091497
ENSG00000078124	71.0749760150848	-32.5374880075424	3	79.0749760150848
ENSG00000136826	57.1794965639548	-25.5897482819774	3	65.1794965639548
ENSG00000136827	41.7500635126534	-17.8750317563267	3	49.7500635126534
ENSG00000136824	39.1591181349156	-16.5795590674578	3	47.1591181349156
ENSG00000134684	49.6576900769179	-21.828845038459	3	57.6576900769179
ENSG00000134686	52.0520789958632	-23.0260394979316	3	60.0520789958632
ENSG00000168772	47.1260970376911	-20.5630485188455	3	55.1260970376911
ENSG00000197993	24.3048189649843	-9.15240948249217	3	32.3048189649843
ENSG00000175592	13.3837365240989	-3.69186826204946	3	21.3837365240989
ENSG00000175591	26.6068103945711	-10.3034051972855	3	34.6068103945711
ENSG00000145022	64.7392224439017	-29.3696112219509	3	72.7392224439017
ENSG00000038945	56.7804757036271	-25.3902378518135	3	64.7804757036271
ENSG00000092010	71.3373308655144	-32.6686654327572	3	79.3373308655144
ENSG00000094914	25.230709652661	-9.61535482633051	3	33.230709652661
ENSG00000094916	63.5728328415135	-28.7864164207567	3	71.5728328415135
ENSG00000108702	23.8316974496441	-8.91584872482203	3	31.8316974496441
ENSG00000108878	18.2490804766875	-6.12454023834377	3	26.2490804766875
ENSG00000177994	14.9924054948657	-4.49620274743284	3	22.9924054948657
ENSG00000105939	43.1680380496159	-18.5840190248079	3	51.1680380496159
ENSG00000120820	50.4557682655482	-22.2278841327741	3	58.4557682655482
ENSG00000133103	39.0077094814624	-16.5038547407312	3	47.0077094814624
ENSG00000135336	48.0208945133576	-21.0104472566788	3	56.0208945133576
ENSG00000135334	55.8156235040739	-24.9078117520369	3	63.8156235040739
ENSG00000138660	69.9889558534618	-31.9944779267309	3	77.9889558534618
ENSG00000131650	-20.2781603395104	13.1390801697552	3	-12.2781603395104
ENSG00000131652	35.8541191893799	-14.9270595946899	3	43.8541191893799
ENSG00000142684	67.5257600974992	-30.7628800487496	3	75.5257600974992
ENSG00000147419	55.1665834406382	-24.5832917203191	3	63.1665834406382
ENSG00000135338	27.189539630062	-10.594769815031	3	35.189539630062
ENSG00000003147	48.5888555651301	-21.294427782565	3	56.5888555651301
ENSG00000132305	57.0846143021542	-25.5423071510771	3	65.0846143021542
ENSG00000175727	34.5949033799892	-14.2974516899946	3	42.5949033799892
ENSG00000149100	65.9414001234099	-29.9707000617049	3	73.9414001234099
ENSG00000015285	32.0076771680722	-13.0038385840361	3	40.0076771680722
ENSG00000221947	4.99867836512312	0.500660817438439	3	12.9986783651231
ENSG00000177663	58.3710787717701	-26.185539385885	3	66.3710787717701
ENSG00000071189	51.2673686235512	-22.6336843117756	3	59.2673686235512
ENSG00000177192	36.7165769090901	-15.3582884545451	3	44.7165769090901
ENSG00000145309	-27.6823831324276	16.8411915662138	3	-19.6823831324276
ENSG00000177669	4.39811629933731	0.800941850331344	3	12.3981162993373
ENSG00000139687	52.7998834530617	-23.3999417265309	3	60.7998834530617
ENSG00000139684	77.0163425447129	-35.5081712723565	3	85.0163425447129
ENSG00000139291	45.2874471943039	-19.6437235971519	3	53.2874471943039
ENSG00000179097	-23.8400804823723	14.9200402411862	3	-15.8400804823723
ENSG00000162630	25.6251433813221	-9.81257169066106	3	33.6251433813221
ENSG00000188266	29.2601606737051	-11.6300803368526	3	37.2601606737051
ENSG00000162636	52.0700469974355	-23.0350234987177	3	60.0700469974355
ENSG00000185972	8.36859079659589	-1.18429539829794	3	16.3685907965959
ENSG00000185973	37.8707642423398	-15.9353821211699	3	45.8707642423398
ENSG00000162639	15.782555520867	-4.89127776043351	3	23.782555520867
ENSG00000165060	56.3505556057421	-25.1752778028711	3	64.3505556057421
ENSG00000165061	31.955686046892	-12.977843023446	3	39.955686046892
ENSG00000185627	62.4666293536816	-28.2333146768408	3	70.4666293536816
ENSG00000146457	61.5164727488977	-27.7582363744489	3	69.5164727488977
ENSG00000169914	44.094791789455	-19.0473958947275	3	52.094791789455
ENSG00000213928	53.6465141877614	-23.8232570938807	3	61.6465141877614
ENSG00000042062	26.2780635688283	-10.1390317844142	3	34.2780635688283
ENSG00000163541	81.7624538659907	-37.8812269329953	3	89.7624538659907
ENSG00000205544	96.0184360926285	-45.0092180463143	3	104.018436092629
ENSG00000047662	2.68012017943513	1.65993991028243	3	10.6801201794351
ENSG00000109471	9.41101727789846	-1.70550863894923	3	17.4110172778985
ENSG00000162496	75.1892351438444	-34.5946175719222	3	83.1892351438444
ENSG00000162494	10.3716309823052	-2.18581549115262	3	18.3716309823052
ENSG00000162493	56.254765209996	-25.127382604998	3	64.254765209996
ENSG00000162490	-5.82539435650033	5.91269717825017	3	2.17460564349967
ENSG00000198646	36.1852948053005	-15.0926474026502	3	44.1852948053005
ENSG00000162944	55.4348541119558	-24.7174270559779	3	63.4348541119558
ENSG00000162946	21.3016259624369	-7.65081298121844	3	29.3016259624369
ENSG00000162949	8.84552662196367	-1.42276331098183	3	16.8455266219637
ENSG00000138111	18.2657668582586	-6.13288342912931	3	26.2657668582586
ENSG00000090857	39.2012272826236	-16.6006136413118	3	47.2012272826236
ENSG00000138796	92.7657891571229	-43.3828945785614	3	100.765789157123
ENSG00000138795	16.9631498485524	-5.48157492427618	3	24.9631498485524
ENSG00000138028	46.2508499907579	-20.1254249953789	3	54.2508499907579
ENSG00000138029	78.560116982564	-36.280058491282	3	86.560116982564
ENSG00000166448	13.723869612101	-3.86193480605049	3	21.723869612101
ENSG00000128708	49.3186654283546	-21.6593327141773	3	57.3186654283546
ENSG00000182287	48.5638345951658	-21.2819172975829	3	56.5638345951658
ENSG00000166446	30.5235632376614	-12.2617816188307	3	38.5235632376614
ENSG00000157617	60.6320535218054	-27.3160267609027	3	68.6320535218054
ENSG00000157343	21.2381040728279	-7.61905203641395	3	29.2381040728279
ENSG00000157613	34.8113316450191	-14.4056658225095	3	42.8113316450191
ENSG00000122432	43.0858056832386	-18.5429028416193	3	51.0858056832386
ENSG00000122435	51.3865487753835	-22.6932743876917	3	59.3865487753835
ENSG00000153823	44.636149758771	-19.3180748793855	3	52.636149758771
ENSG00000196814	31.3657680814984	-12.6828840407492	3	39.3657680814984
ENSG00000153820	42.0861101789621	-18.0430550894811	3	50.0861101789621
ENSG00000153827	67.7203432589001	-30.86017162945	3	75.7203432589001
ENSG00000137558	45.7135896703723	-19.8567948351862	3	53.7135896703723
ENSG00000154839	42.5058527253988	-18.2529263626994	3	50.5058527253988
ENSG00000137221	21.2520887091872	-7.62604435459361	3	29.2520887091872
ENSG00000164332	44.0928328381212	-19.0464164190606	3	52.0928328381212
ENSG00000164334	3.35203146162198	1.32398426918901	3	11.352031461622
ENSG00000100418	79.0433485872177	-36.5216742936088	3	87.0433485872177
ENSG00000100416	35.2732321541228	-14.6366160770614	3	43.2732321541228
ENSG00000100417	60.5071134202408	-27.2535567101204	3	68.5071134202408
ENSG00000144161	46.4389541054585	-20.2194770527292	3	54.4389541054585
ENSG00000100412	63.3924460122464	-28.6962230061232	3	71.3924460122464
ENSG00000100413	46.9725139022588	-20.4862569511294	3	54.9725139022588
ENSG00000100410	68.3461637401018	-31.1730818700509	3	76.3461637401018
ENSG00000015413	46.2913625309883	-20.1456812654942	3	54.2913625309883
ENSG00000159761	13.0655347014426	-3.53276735072128	3	21.0655347014426
