Cat	Human	Pig	Rabbit	Rat	Dog	Sheep
ENSFCAG00000025636_Cat(Cat)	ENSG00000163002_Human(Human)	ENSSSCG00000028949_Pig(Pig)	ENSOCUG00000014407_Rabbit(Rabbit)	ENSRNOG00000009290_Rat(Rat)	ENSCAFG00000031849_Dog(Dog)	ENSOARG00000016728_Sheep(Sheep)
ENSFCAG00000024800_Cat(Cat)	ENSG00000055483_Human(Human)	ENSSSCG00000017165_Pig(Pig)	ENSOCUG00000006102_Rabbit(Rabbit)	ENSRNOG00000028255_Rat(Rat)	ENSCAFG00000005524_Dog(Dog)	ENSOARG00000003393_Sheep(Sheep)
ENSFCAG00000010910_Cat(Cat)	ENSG00000123901_Human(Human)	ENSSSCG00000022490_Pig(Pig)	ENSOCUG00000015502_Rabbit(Rabbit)	ENSRNOG00000030318_Rat(Rat)	ENSCAFG00000031257_Dog(Dog)	ENSOARG00000001994_Sheep(Sheep)
ENSFCAG00000009570_Cat(Cat)	ENSG00000096401_Human(Human)	ENSSSCG00000001708_Pig(Pig)	ENSOCUG00000017240_Rabbit(Rabbit)	ENSRNOG00000019975_Rat(Rat)	ENSCAFG00000001996_Dog(Dog)	ENSOARG00000010205_Sheep(Sheep)
ENSFCAG00000003224_Cat(Cat)	ENSG00000126001_Human(Human)	ENSSSCG00000021138_Pig(Pig)	ENSOCUG00000013941_Rabbit(Rabbit)	ENSRNOG00000019340_Rat(Rat)	ENSCAFG00000008037_Dog(Dog)	ENSOARG00000012767_Sheep(Sheep)
ENSFCAG00000001379_Cat(Cat)	ENSG00000109163_Human(Human)	ENSSSCG00000006685_Pig(Pig)	ENSOCUG00000016998_Rabbit(Rabbit)	ENSRNOG00000002011_Rat(Rat)	ENSCAFG00000002785_Dog(Dog)	ENSOARG00000007526_Sheep(Sheep)
ENSFCAG00000013871_Cat(Cat)	ENSG00000197603_Human(Human)	ENSSSCG00000016843_Pig(Pig)	ENSOCUG00000025870_Rabbit(Rabbit)	ENSRNOG00000042118_Rat(Rat)	ENSCAFG00000018685_Dog(Dog)	ENSOARG00000010431_Sheep(Sheep)
ENSFCAG00000015761_Cat(Cat)	ENSG00000158850_Human(Human)	ENSSSCG00000006360_Pig(Pig)	ENSOCUG00000029610_Rabbit(Rabbit)	ENSRNOG00000003551_Rat(Rat)	ENSCAFG00000031128_Dog(Dog)	ENSOARG00000009668_Sheep(Sheep)
ENSFCAG00000000930_Cat(Cat)	ENSG00000173193_Human(Human)	ENSSSCG00000011874_Pig(Pig)	ENSOCUG00000003418_Rabbit(Rabbit)	ENSRNOG00000023334_Rat(Rat)	ENSCAFG00000011970_Dog(Dog)	ENSOARG00000020160_Sheep(Sheep)
ENSFCAG00000003587_Cat(Cat)	ENSG00000188833_Human(Human)	ENSSSCG00000005852_Pig(Pig)	ENSOCUG00000017564_Rabbit(Rabbit)	ENSRNOG00000009239_Rat(Rat)	ENSCAFG00000019434_Dog(Dog)	ENSOARG00000001271_Sheep(Sheep)
